DateTime,stationId,temp_value,humidity_value,rainfall_value
2024-04-02T07:59:59,S107,28.46248144,78.67770531,0
2024-04-02T06:59:59,S107,28.46248144,78.67770531,0
2024-04-02T05:59:59,S107,28.46248144,78.67770531,0
2024-04-02T04:59:59,S107,28.46248144,78.67770531,0
2024-04-02T03:59:59,S107,28.46248144,78.67770531,0
2024-04-02T02:59:59,S107,28.46248144,78.67770531,0
2024-04-02T01:59:59,S107,28.46248144,78.67770531,0
2024-04-02T00:59:59,S107,28.46248144,78.67770531,0
2024-04-01T23:59:59,S107,28.46248144,78.67770531,0
2024-04-01T22:59:59,S107,28.46248144,78.67770531,0
2024-04-01T21:59:59,S107,28.46248144,78.67770531,0
2024-04-01T20:59:59,S107,28.46248144,78.67770531,0
2024-04-01T19:59:59,S107,28.46248144,78.67770531,0
2024-04-01T18:59:59,S107,28.46248144,78.67770531,0
2024-04-01T17:59:59,S107,28.46248144,78.67770531,0
2024-04-01T16:59:59,S107,28.46248144,78.67770531,0
2024-04-01T15:59:59,S107,28.46248144,78.67770531,0
2024-04-01T14:59:59,S107,28.46248144,78.67770531,0
2024-04-01T13:59:59,S107,28.46248144,78.67770531,0
2024-04-01T12:59:59,S107,28.46248144,78.67770531,0
2024-04-01T11:59:59,S107,28.46248144,78.67770531,0
2024-04-01T10:59:59,S107,28.46248144,78.67770531,0
2024-04-01T09:59:59,S107,28.46248144,78.67770531,0
2024-04-01T08:59:59,S107,28.46248144,78.67770531,0
2024-04-01T07:59:59,S107,28.46248144,78.67770531,0
2024-04-01T06:59:59,S107,28.46248144,78.67770531,0
2024-04-01T05:59:59,S107,28.46248144,78.67770531,0
2024-04-01T04:59:59,S107,28.46248144,78.67770531,0
2024-04-01T03:59:59,S107,28.46248144,78.67770531,0
2024-04-01T02:59:59,S107,28.46248144,78.67770531,0
2024-04-01T01:59:59,S107,28.46248144,78.67770531,0
2024-04-01T00:59:59,S107,28.46248144,78.67770531,0
2024-03-31T23:59:59,S107,28.46248144,78.67770531,0
2024-03-31T22:59:59,S107,28.46248144,78.67770531,0
2024-03-31T21:59:59,S107,28.46248144,78.67770531,0
2024-03-31T20:59:59,S107,28.46248144,78.67770531,0
2024-03-31T19:59:59,S107,28.46248144,78.67770531,0
